Date,Region,TotalShows,FastFillingShows,SoldOutShows,TotalOccupancy,TotalBookedTickets,TotalMaxSeats,BookedGross,TotalGross
2025-07-21,VIZAG,20,8,5,71.99%,7573,10520,1722050.00,2331000.00
2025-07-21,KAKINADA,4,3,0,74.21%,1007,1357,519000.00,721800.00
2025-07-21,RAJAMAHENDRAVARAM,1,0,1,100.00%,387,387,203400.00,203400.00
2025-07-21,VIJAYAWADA,27,14,6,77.37%,8596,11110,1958750.00,2500450.00
2025-07-21,ANANTAPUR,0,0,0,NaN%,0,0,0.00,0.00
